"Data Source,""World Development Indicators"","																														
																														
"Last Updated Date,""2017-04-27"","																														
																														
Country Name	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Curacao	CUW	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD																											
Cyprus	CYP	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	23300.77522	22873.26593	24366.39497	23951.52596	24845.44507	26465.20878	26393.94094	26690.08036	27745.1706	28761.21915	30085.90382	30835.04273	31519.85994	31910.0702	32925.07544	33662.99801	34599.17366	35503.10902	35960.50774	34387.49661	33941.28433	33192.52294	31658.31103	29843.06441	29711.25919	30382.687	
Czech Republic	CZE	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	19965.24595	17688.70758	17581.12245	17573.72904	18078.47176	19214.98476	20061.25792	19947.47499	19903.28284	20210.1414	21137.18098	21864.18046	22267.18486	23075.81729	24210.11382	25734.17118	27429.41454	28777.63933	29313.64619	27735.87195	28289.889	28797.41796	28527.13873	28379.74612	29119.61661	30380.59073	
Denmark	DNK	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	33785.65014	34167.71928	34721.38178	34609.58309	36332.21734	37237.72328	38101.40552	39180.68656	39904.59561	40945.27924	42337.71437	42533.53926	42595.58722	42645.58313	43670.4453	44567.93131	46159.91374	46373.51666	45865.79596	43382.62546	43998.43667	44403.39415	44336.81246	44564.45216	45082.15205	45483.76451	
Djibouti	DJI	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	3112.435007	2870.390577	2794.890316	2560.228679	2494.616869	2366.81569	2228.531852	2171.771557	2134.664	2143.131867	2116.579578	2126.008956	2148.401158	2184.339737	2235.460091	2274.428861	2351.769361	2439.649974	2548.21647	2642.328099	2699.22995	2782.971292	2879.19705	2982.993726	3120.044328	3279.123902	
Dominica	DMA	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	6729.337495	6777.796364	6903.991442	6997.663926	7081.215393	7221.555417	7435.358087	7587.799667	8017.765484	8117.935603	8174.481175	8215.39506	8054.48467	8642.450777	8889.464008	8854.298259	9094.620642	9655.15077	10330.12036	10192.88952	10236.64069	10179.37964	10030.72509	10063.1045	10435.7462	10204.03569	
Dominican Republic	DOM	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	5267.102916	5213.787533	5651.654017	5946.072474	5971.935384	6188.762863	6517.230094	6923.036291	7289.706414	7656.729267	7963.704739	7982.396784	8315.210687	8168.846459	8153.066259	8778.493488	9576.582847	10265.05568	10449.21975	10406.35428	11123.53321	11320.85225	11490.58451	11887.54361	12638.9713	13371.5288	
Early-demographic dividend	EAR	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	4228.413177	4318.022593	4417.231792	4478.427017	4539.872055	4608.949924	4782.188318	4907.54694	4899.297493	4942.555316	5070.934666	5076.187094	5116.993971	5295.160383	5557.702728	5839.662943	6137.467149	6448.82682	6604.259958	6662.490772	7015.472865	7262.62753	7434.628171	7643.489748	7871.664893	8156.07219	
East Asia and Pacific	EAS	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	4962.365685	5159.076738	5365.843031	5596.543736	5873.017737	6181.904502	6493.740632	6715.653704	6639.401697	6846.513296	7178.939405	7387.025948	7697.806982	8068.949698	8526.267974	9021.217519	9612.544997	10356.74237	10819.37595	11135.43104	11969.69818	12617.05074	13249.93074	13906.30622	14526.97437	15146.55558	
East Asia and Pacific (excluding high income)	EAP	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	2221.859465	2357.59699	2564.153614	2794.421955	3046.520016	3296.707866	3542.947346	3736.601555	3726.653492	3902.98981	4148.58414	4376.486762	4670.061929	5025.021212	5419.055467	5882.743181	6446.603174	7162.346933	7692.702391	8202.832244	8927.183932	9596.872789	10238.10625	10887.08688	11527.91633	12179.35254	
East Asia and Pacific (IDA and IBRD countries)	TEA	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	2245.939366	2383.164754	2592.029552	2824.891822	3079.808658	3332.759905	3581.664303	3777.348906	3767.183727	3945.34069	4193.533151	4423.871174	4720.617374	5079.42304	5477.711093	5946.363456	6516.229467	7239.578676	7775.494848	8290.931905	9022.870655	9699.53134	10347.39092	11003.05081	11650.4278	12308.46837	
Ecuador	ECU	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	7472.029516	7611.73471	7595.023206	7571.246256	7720.726385	7726.196813	7696.582743	7867.059252	7964.484759	7443.335645	7387.615879	7550.25845	7727.719713	7808.192788	8311.702585	8607.766035	8837.374359	8879.620602	9285.839983	9183.530679	9352.342984	9926.952496	10322.29471	10665.62262	10922.96342	10776.57766	
Egypt	EGY	GDP per capita, PPP (constant 2011 international $)		6014.301121	5942.980013	6076.583646	6129.440486	6251.857055	6420.372257	6617.599086	6856.038908	7006.390675	7302.317744	7556.709886	7681.651183	7718.602441	7817.480886	7988.271427	8195.5612	8603.445495	9055.238556	9534.460265	9799.253	10102.10019	10071.20526	10067.08215	10050.03428	10048.57243	10249.95791	
El Salvador	SLV	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	4532.286684	4633.076462	4917.359116	5212.376466	5461.5696	5747.777422	5789.231469	5983.178322	6160.098821	6328.890636	6424.887207	6497.898502	6616.535992	6738.174942	6834.883405	7052.073845	7302.958274	7559.486084	7633.133889	7372.901469	7452.561702	7596.509131	7717.696782	7837.79136	7925.991783	8095.558984	
